name,address,address_secondary,intersection,city,state,country,zip,description,food,music,dress_code,entry_fee,style,crowd,specialty,specials,price_range,parking,hours,contact_phone,date,venue_type_ids,neighbourhood_id,keyword_ids,logo,photos
Tequila Bookworm,516 Queen St W,,Queen & Portland,Toronto,Ontario,Canada,,"A casual two floor bar and restaurant located on Queen West. Chill music, art on the walls, and a relaxing vibe. There’s tons of  Ontario craft beer for you to choose from as well as Ontario ciders and wine. The kitchen is open until 2AM every day and Brunch is served on weekends from 10AM - 5PM. ",Casual bar food,,,,"Hipster, artistic",,Local beers and Ontario wines,No Specials,$,Street Parking on Queen,Sun: 11:00am - 2:00am | Mon: 5:00pm - 2:00am | Tue - Fri: 12:00pm - 2:00am | Sat: 11:00am - 2:00am,416.504.2334,,bar,queen_w,"Dress Down, Get Drunk, Mixed, Pub Food, Craft Beer, Beers on Tap, Hipster",tequila_bookworm/tequila_bookworm_logo.png,"tequila_bookworm/tequila_bookworm_1.jpg, tequila_bookworm/tequila_bookworm_2.jpg, tequila_bookworm/tequila_bookworm_3.jpg"
The Central,603 Markham St,,Bloor & Markham,Toronto,Ontario,Canada,,"A casual dive bar with no expectations. Dress comfortably and casually while taking advantage of their unbeatable drink specials. This venue hosts Live comedy shows, local bands, poetry slams and spoken word events. On top of that, they have a 3 different patios, a video game room and a 3$ food menu. The crowd = college crowd. ",North American classic pub food,,,,Casual house party,,"Live Music, Poetry Slams","Jameson Shots - $3.10
3oz Cocktail Mini Pitchers - $9.50
Jagerbomb - $3.75
Bucket of 5 Old Style Pilsner $15.25
Old Style Pilsner Bottle $3.10 (not available Fri/Sat after 11PM)
Snack bar menu - everything $3",$,Street parking on Bloor St,Mon: Fri: 4:00pm - 2:30am | Sat - Sun: 12:00pm - 2:30am ,416.913.4586,,bar,bloor_st,"Get Drunk, Dress Down, Rock/Indie, Live Music, Dive Bar, College, 19-25, Drink Specials",the_central/the_central_logo.png,"the_central/the_central_1.jpg, the_central/the_central_2.png, the_central/the_central_3.jpg"
The Communist’s Daughter ,1149 Dundas St W,,Dundas & Ossington,Toronto,Ontario,Canada,,"The Communist’s Daughter transports you to a 1940s kitchen in the Czech Republic in all the best ways. This decade old, unpretentious, venue offers a jukebox, amazing sausage plates and sandwiches, and some of the best pickled eggs in Toronto. Bring your own vinyl Mondays and the house jazz band on weekends draws a diverse crowd to this reliable, down to earth bar.",Czech inspired sandwiches and small plates,,,,Dive bar with a theme,,Pickled Eggs,None,$$,Street Parking on Dundas or a parking lot just east of Bathurst,"Evenings, undefined",647.435.0103,,bar,dundas_w,"Get Drunk, Dress Down, Live Music, Dive Bar, Hipster",communist_daughter/communist_daughter_logo.jpg,"communist_daughter/communist_daughter_1.jpg, communist_daughter/communist_daughter_3.jpg, communist_daughter/communist_daughter_4.jpg"
The Dakota Tavern,249 Ossington Ave,,Dundas & Ossington,Toronto,Ontario,Canada,,"Enjoy beer, bourbon and bands. The Dakota Tavern is a casual little bar tucked into the heart of Little Portugal. Bad music doesn't happen here. Bad people aren't comfortable here.",Snack Menu,,,,"Western, Folk, Rock",,Live music every night,Bluegrass brunch 10am - 2pm with an all you can eat option,$,Street parking on Dundas or on Ossington,Nightly 8:00pm – 2:00am | Sat – Sun: 10:00am - 2:00pm,416.850.4579,,bar,ossington,"Dress Down, Jazz, Rock/Indie, Live Music, Craft Beer, Dive Bar, Casual",dakota_tavern/dakota_tavern_logo.jpg,"dakota_tavern/dakota_tavern_1.jpg, dakota_tavern/dakota_tavern_2.jpg, dakota_tavern/dakota_tavern_3.png"
The Lab,298 Brunswick Ave,,Bloor & Brunswick,Toronto,Ontario,Canada,,"The Lab, is a laidback low-key dive bar in the heart of the Annex. With $3 rails on Thursday, Friday, Saturday and different specials every other day of the week, The Lab is great for evening drinks and weekend partiers. Djs and live bands on weekends.",Pub food,,,,"Laidback, Dive Bar",,Cheap drink prices,$3 shots and $3.50 mixed drinks every night (brands vary each night),$,Street Parking on Markham and Bloor,Daily 6:00pm - 2:00am,416.925.7775,,bar,bloor_st,"Get Drunk, Dress Down, Mixed, Dive Bar, College, Drink Specials",the_lab_lounge/the_lab_lounge_logo.jpg,the_lab_lounge/the_lab_lounge_1.jpg 
The Madison Ave Pub,14 Madison Avenue,,Bloor & Spadina,Toronto,Ontario,Canada,,"Converted from an old Victorian hotel, The Madison is a very welcoming and cozy bar. It’s a great venue to watch the game and have a pint with the guys or have your wild ladies night out. Multiple floors, multiple bars, multiple rooms, each with more character than the next, supports an impressive capacity of 2100. If one vibe doesn’t strike you, simply walk up the stairs to another room and find what you’re looking for. Live bands and Djs on weekends as well as specials every day for alcohol and classic pub food, makes The Madison a diverse and dependable destination.",Pub food,,,,Huge house party,,Something for everyone,Every Day: Half priced apps from 3pm-6pm and after midnight (with beverage purchase) | Wednesdays: Half priced wings (with beverage purchase) | Thursdays: $3.50 all domestic bottles and rail drinks | Every Day: Various drink specials 11am - 6pm,$$,Parking lot on the north east side of Bloor and Bathurst,Mon - Sat    11am-2am | Sunday 11am-12am,416.927.1722,,bar,bloor_st,"Meet New People, Live Music, Pub Food, Casual, Pool Table, College, Drink Specials, Beers on Tap",the_madison_ave_pub/madison_logo.png,"the_madison_ave_pub/the_madison_ave_pub_1.jpg, the_madison_ave_pub/the_madison_ave_pub_2.jpg, the_madison_ave_pub/the_madison_ave_pub_3.jpg"
The Painted Lady,218 Ossington Ave,,Dundas & Ossington,Toronto,Ontario,Canada,,"The original rock n’ roll, funk n’ soul, burlesque bar! Imagine a very casual New Orleans jazz lounge packed up and moved to Toronto. That’s The Painted Lady. If you can’t imagine that, the eccentric eclectic variety of historical pictures and portraits from New Orleans that line the walls help paint the picture. Providing a huge variety of live music Sunday-Thursday and DJ’s with burlesque dancers on Fri/Sat this venue’s worth a stop, without mentioning the mouth-watering menu.",Simple bar food,,,,New Orleans jazz lounge,,Burlesque on Fridays and Saturdays,No specials,$$,Street Parking on Dundas or Green P parking lot next to the CIBC ($4 per evening),Daily: 5:00pm - 2:00am,647.213.5239,,bar,ossington,"Discover a Hidden Gem, Dress Down, Jazz, Live Music, Dive Bar, Hipster",painted_lady/painted_lady_logo.png,"painted_lady/painted_lady_1.jpg, painted_lady/painted_lady_2.jpg, painted_lady/painted_lady_3.jpg"
The Rex,194 Queen St W,,Queen & St Patrick,Toronto,Ontario,Canada,,"The Rex is a historic Jazz  & Blues Bar with affordable pub-fare and a wide variety of drinks. They host a music show at least twice a day, so there’s plenty of opportunity to listen to some great live music! Not at all pretentious, it has a casual atmosphere and an eclectic mix of retro-chic decor. They also have a full hotel if you’re from out of town.",Pub Fare,,,,Retro,,Live jazz music,No Specials,$,Street Parking on Queen Street,Mon - Fri: 6:30am - 2:00am | Sat - Sun: 8:30am - 2:00am,416.598.2475,,bar,queen_w,"Jazz, Live Music, Beers on Tap, Pub Food, Casual, 40+",the_rex/the_rex_logo.jpg,"the_rex/the_rex_1.jpg, the_rex/the_rex_2.jpg"
Thompson Lobby Bar,550 Wellington St W,,Wellington & Bathurst,Toronto,Ontario,Canada,,"A local bar for young and mature professionals alike, the Thompson Hotel Lobby bar is a great place to socialize, network and have a couple of drinks. They serve specialty cocktails and fancy wines, and they also offer free snacks for you to nibble on. The wall of art and modern furniture is extravagantly unique. The music: Deep House & Lounge Electronic. DJs Thursdays - Saturday.","Bar Menu, Small Plates",,,,"Fashionable, Upscale",,Artsy atmosphere and comfortable lounge area,No specials,$$$,Parking lot across the street on Wellington,Sun - Mon 5:00pm - 12:00am  | Tues - Sat: 5:00pm - 2:00am,416.640.7778,,bar,king_w,"Out with Friends, Meet New People, Chill/Deep House, Beers on Tap, Unique Wine List, Pub Food, Upscale, Sophisticated",thompson_hotel_lobby_bar/thompson_hotel_lobby_bar_logo.jpg,"thompson_hotel_lobby_bar/thompson_hotel_lobby_bar_1.png, thompson_hotel_lobby_bar/thompson_hotel_lobby_bar_2.jpeg, thompson_hotel_lobby_bar/thompson_hotel_lobby_bar_3.jpg"
Home of the Brave,589 King St W,,King & Portland,Toronto,Ontario,Canada,,"Critically acclaimed and therefore always busy, Home of the Brave has a great vibe, amazing food and urban street art. The prices are definitely cheaper than the rest of King West. Home of the Brave offers American inspired tapas dishes and unique cocktails. Average Age: 20-35","Bar Food, American Tapas",,,,"American Inspired, Urban vibe",,Awesome Sandwiches,No specials,$$,Street parking on King or Wellington,Mon - Wed 5:00pm - 11:00pm | Thurs - Sat 5:00pm - 2:00am | Sun Closed,416.366.2736,,bar,king_w,"Try Creative Cocktails, Mixed, Pub Food, Mixed Crowd, Trendy, Beers on Tap",pegasus_group/home_of_the_brave/home_of_the_brave_logo.jpg,"pegasus_group/home_of_the_brave/home_of_the_brave_1.jpg, pegasus_group/home_of_the_brave/home_of_the_brave_2.jpg, pegasus_group/home_of_the_brave/home_of_the_brave_3.jpg"
The Green Grind,567 College St,,College & Euclid,Toronto,Ontario,Canada, M6G 3W9,"High ceilings, open space and an enormous mural welcome you into this workspace. It’s quiet and comfortable. There is a long communal table with outlets around it; perfect for a work session. The Green Grind is also environmentally conscious. From the organic Fairtrade coffee and tea to the vegetarian (mostly vegan) menu, there’s always something healthy, fresh, delicious and most importantly environmentally friendly to try.",Casual vegetarian menu,,,,"Clean, spacious, workable",,all vegan baked goods,None,,Street parking on College for $2.25 per hour or a parking lot on Clinton (north of College) for $1.25 / Half Hour.,Mon - Fri: 8:00am - 7:00pm | Sat - Sun: 9:00am - 6:00pm,647.293.2110,,workspace,college_st,"Working Alone, Working in a Group, Coffee/Tea, Free Wifi, Big Tables, Quiet Spot, West End",green_grind/green_grind_logo.jpg,"green_grind/green_grind_1.jpg, green_grind/green_grind_2.jpg, green_grind/green_grind_3.jpg"
RSquared Cafe,668 Queen St W,,Queen & Tecumseth,Toronto,Ontario,Canada,,"Free wifi, large tables, inspirational art and an exquisite caffeine fix. RSquared is a cafe on Queen W built with a workspace design in mind. They also offer breakfast, lunch and delicious treats. If that’s not enough, they also cater to the vegan community with iems such as the sweet potato quinoa burger. ",Vegan friendly sandwiches and snacks,,,,Workable,,Big tables made to work on,"Sweet potato quinoa burger

",,Street parking on Queen for $2.25 per hour.,Mon - Fri: 7:00 am - 8:00 pm | Sat - Sun: 8:00 am - 7:00 pm,647.344.8558,,workspace,queen_w,"Working Alone, Reading, Coffee/Tea, Lattes & Machiattos, Sandwiches, Quiet Spot, West End, Lots of Outlets",rsquared/rsquaredlogo.jpg,"rsquared/rsquared1.jpg, rsquared/rsquared2.jpg, rsquared/rsquared3.jpg"
Lit Espresso Bar - Roncy,221 Roncesvalles ave,,Roncesvalles Villages,Toronto,Ontario,Canada,,"Welcomed by vaulted ceilings, a woodlot bar and a comfortable atmosphere, Lit is all about the coffee. With their very own brew (Pig Iron) roasted in Mississauga, Lit supports third wave coffee in a way a lot of espresso bars don’t. Lit has been rated one of the best workplaces in the city. It’s an inspiring and inviting space that allows your thoughts to flow nicely. ",Paninis and pastries,,,,Rustic,,Third wave coffee (Pig Iron),Coffee of the day,,Street parking on Roncesvalles for $1.50 per hour.,Mon - Fri 7:00am-6:00pm  | Sat -Sun 8:00am-6:00pm,416.538.9700,,workspace,,"Working Alone, Reading, Getting Inspired, Coffee/Tea, Lattes & Machiattos, Sweets, West End",lit_espresso_bar/lit_espresso_bar_logo.png,"lit_espresso_bar/lit_espresso_bar_1.png, lit_espresso_bar/lit_espresso_bar_2.png, lit_espresso_bar/lit_espresso_bar_3.png"
Lit Espresso Bar -College St,810 College street ,,College & Ossington,Toronto,Ontario,Canada,,"Welcomed by vaulted ceilings, a woodlot bar and a comfortable atmosphere, Lit is all about the coffee. With their very own brew (Pig Iron) roasted in Mississauga, Lit supports third wave coffee in a way a lot of espresso bars don’t. Lit has been rated one of the best workplaces in the city. It’s an inspiring and inviting space that allows your thoughts to flow nicely. ",Paninis and pastries,,,,Rustic,,Third wave coffee (Pig Iron),Coffee of the day,,Street parking on College or Ossington for $2.25 per hour.,Mon - Fri 7:00am-6:00pm  | Sat -Sun 8:00am-6:00pm,416.519.1884,,workspace,college_st,"Working Alone, Reading, Getting Inspired, Coffee/Tea, Lattes & Machiattos, Sweets, West End",lit_espresso_bar/lit_espresso_bar_logo.png,"lit_espresso_bar/lit_espresso_bar_1.png, lit_espresso_bar/lit_espresso_bar_2.png, lit_espresso_bar/lit_espresso_bar_3.png"
Balzac's Coffee - Reference Library,789 Yonge Street,,Yonge & Church,Toronto,Ontario,Canada,,"Reference Library: Balzac’s is honoured to be the coffee company selected for the recently revitalized Toronto Reference Library, an iconic Toronto institution whose vision is to become “Toronto’s foremost public centre for lifelong learning, the exchange of ideas and community involvement.”  This café opens into the Library’s main public space as well as Yonge Street creating a micro-community of book and coffee lovers alike.","Snacks, pastries",,,,"Comfortable, roomy",,Famous for their unique coffee,None,,"Street parking in the area for $2.25 per hour or a parking lot at 37 Yorkville Avenue
for $2.00 / Half Hour",Mon - Thurs 7:00am - 8:30pm | Fri 7:00am - 7:00pm | Sat 8:00am - 5:00pm | Sun 9:00am - 4:00pm,416.922.3700,,workspace,,"Working Alone, Reading, Getting Inspired, Sweets, Coffee/Tea, Uptown, Free Wifi",balzacs_coffee/balzacs_logo.png,"balzacs_coffee/yonge_church_library/yonge_church_library1.jpg, balzacs_coffee/yonge_church_library/yonge_church_library2.jpg, balzacs_coffee/yonge_church_library/yonge_church_library3.jpg"
Balzac's Coffee - Distillery District,1 Trinity Street,,Distillery District (Trinity St & Tank House Ln),Toronto,Ontario,Canada,,"Distillery District: Toronto’s only pedestrian village is the site for Balzac’s second location, opened in 2002. This national historic site with its exquisite Victorian Industrial Architecture is alive with arts and culture, boasting some of Toronto’s finest boutiques and food shops. Balzac’s has transformed the circa 1895 Pump House into a two storey Grand Parisian style café. A giant Vaudeville chandelier casts a soft glow for sitting back and watching the bustling activity of this unique district.","Snacks, pastries",,,,"Rustic, cultural",,Famous for their unique coffee,None,,Parking lot at the Distillery District for approx. $1.75 / Half Hour,Mon - Fri 7:00am - 8:00pm | Sat 7:00am - 8:00pm | Sun 8:00am - 7:00pm,416.207.1709,,workspace,,"Working Alone, Reading, Getting Inspired, Sweets, Coffee/Tea, Lattes & Machiattos, East End",balzacs_coffee/balzacs_logo.png,"balzacs_coffee/distillery_district/balzacs_distillery1.jpg, balzacs_coffee/distillery_district/balzacs_distillery12.jpg, balzacs_coffee/distillery_district/balzacs_distillery13.jpg"
Balzac's Coffee - Liberty Village,"43 Hanna Avenue, Unit 123",,Liberty Village (Hanna & E Liberty),Toronto,Ontario,Canada,,"In their smooth interpretation of a 1950s café, Blazac's created an airy space with sleek touches, such as an authentic zinc bar from Paris and custom-made Art Deco floor tiles.","Snacks, pastries",,,,"Rustic, Parisian",,Famous for their unique coffee,None,,"Street parking for $2.25 per hour or a parking lot at 34 Hanna Avenue
for $1.50 / Half Hour",Mon - Fri 7:00am - 7:00pm | Sat 8:00am - 7:00pm | Sun 9:00am - 7:00pm,416.534.7372,,workspace,,"Reading, Working Alone, Coffee/Tea, Sweets, Free Wifi, West End",balzacs_coffee/balzacs_logo.png,"balzacs_coffee/liberty_village/balzacs_libvillage_1.jpg, balzacs_coffee/liberty_village/balzacs_libvillage_2.jpg, balzacs_coffee/liberty_village/balzacs_libvillage_3.jpg "
Balzac's Coffee - Ryerson,122 Bond Street,,Ryerson U (Gould & Bond),Toronto,Ontario,Canada,,"In the heart of the Ryerson campus, in the newly renovated Image Arts Building, this café has become a favorite gathering spot for students, faculty and visitors.  The glass walls and natural light offer one of the prime vantage points from which to observe the exciting bustle and energy of academic life on the pedestrian designated Gould Street.","Snacks, pastries",,,,"Open, Rustic",,Famous for their unique coffee,None,,"Street parking for $3.00 per hour or a parking lot at 25 Dundas Street East
for $2.50 / Half Hour",Mon - Fri 7:00am - 9:00pm | Sat 10:00am - 5:00pm | Sun 10:00am - 5:00pm,416.597.1700,,workspace,,"Working Alone, Working in a Group, Ryerson, Coffee/Tea, Lattes & Machiattos, Big Tables",balzacs_coffee/balzacs_logo.png,"balzacs_coffee/ryerson_location/ryerson_location1.jpg, balzacs_coffee/ryerson_location/ryerson_location2.jpg, balzacs_coffee/ryerson_location/ryerson_location3.jpg"
Dark Horse Espresso Bar - Entertainment District,125 John St,,John St & Adelaide,Toronto,Ontario,Canada,,"Dark Horse is a popular coffee spot with exposed brick and rustic look, large communal tables with outlets and tons of inspiring art. They also have fresh coffee, loose leaf tea and baked goods that will have you constantly craving more. Dark Horse is usually busy with people socializing, so if you’re looking for somewhere quiet to read or study, perhaps a more quiet spot is appropriate. Dark Horse is a great spot to get inspired or to be creative. It’s also great if you’re the type of person that likes to study with some noise. ","Baked goods, some sandwiches",,,,"Rustic, comfortable",,Homemade baked goods,None,,Street parking for $4.00 per hour or a parking lot at 302 Queen Street West for $2.00 / Half Hour,Mon - Fri 7:00am - 6:00pm |  Sat - Sun 9:00am - 4:00pm,647.748.7700,,workspace,,"Getting Inspired, Downtown, Coffee/Tea, Sweets, Free Wifi, Big Tables",dark_horse_queenw/dark_horse_logo.png,"dark_horse_queenw/dark_horse1.png, dark_horse_queenw/dark_horse2.png"
Dark Horse Espresso Bar - Queen W,684 Queen St W,,Queen & Euclid,Toronto,Ontario,Canada,,"Dark Horse is a popular coffee spot with exposed brick and rustic look, large communal tables with outlets and tons of inspiring art. They also have fresh coffee, loose leaf tea and baked goods that will have you constantly craving more. Dark Horse is usually busy with people socializing, so if you’re looking for somewhere quiet to read or study, perhaps a more quiet spot is appropriate. Dark Horse is a great spot to get inspired or to be creative. It’s also great if you’re the type of person that likes to study with some noise. ","Baked goods, some sandwiches",,,,"Rustic, comfortable",,Homemade baked goods,None,,Street parking for $2.25 per hour,Mon - Fri 7:00am - 8:00pm | Sat - Sun: 8:00am - 8:00pm,647.352.3512,,workspace,queen_w,"West End, Reading, Getting Inspired, Coffee/Tea, Lattes & Machiattos, Sweets",dark_horse_queenw/dark_horse_logo.png,"dark_horse_queenw/dark_horse1.png, dark_horse_queenw/dark_horse2.png"
Dark Horse Espresso Bar - Queen E,682 Queen St E,,Queen & Broadview,Toronto,Ontario,Canada,,"Dark Horse is a popular coffee spot with exposed brick and rustic look, large communal tables with outlets and tons of inspiring art. They also have fresh coffee, loose leaf tea and baked goods that will have you constantly craving more. Dark Horse is usually busy with people socializing, so if you’re looking for somewhere quiet to read or study, perhaps a more quiet spot is appropriate. Dark Horse is a great spot to get inspired or to be creative. It’s also great if you’re the type of person that likes to study with some noise. ","Baked goods, some sandwiches",,,,"Rustic, comfortable",,Homemade baked goods,None,,"Street parking for $1.50 per hour or a parking lot at 111 Broadview Avenue
for $1.00 / Half Hour",Mon - Thurs 7:00am - 7:00pm | Fri - Sun: 7:00am - 8:00pm,647.436.3460,,workspace,,"East End, Getting Inspired, Coffee/Tea, Lattes & Machiattos, Sweets, Free Wifi",dark_horse_queenw/dark_horse_logo.png,"dark_horse_spadina/dark_horse_spadina1.png, dark_horse_spadina/dark_horse_spadina2.png"
Dark Horse Espresso Bar - China Town,215 Spadina Ave Suite 102,,Spadina & Sullivan,Toronto,Ontario,Canada,,"Dark Horse is a popular coffee spot with exposed brick and rustic look, large communal tables with outlets and tons of inspiring art. They also have fresh coffee, loose leaf tea and baked goods that will have you constantly craving more. Dark Horse is usually busy with people socializing, so if you’re looking for somewhere quiet to read or study, perhaps a more quiet spot is appropriate. Dark Horse is a great spot to get inspired or to be creative. It’s also great if you’re the type of person that likes to study with some noise. ","Baked goods, some sandwiches",,,,"Rustic, comfortable",,Homemade baked goods,None,,"Street parking in this area is for $3.00 per hour or a parking lot at 180 Spadina Avenue
for $2.00 / Half Hour",Mon - Fri 7:00am - 7:00pm | Sat - Sun: 8:00am - 7:00pm,416.979.1200,,workspace,,"Getting Inspired, Coffee/Tea, Sweets, Sandwiches, Free Wifi, Big Tables, Lots of Outlets",dark_horse_queenw/dark_horse_logo.png,"dark_horse_spadina/dark_horse_spadina1.png, dark_horse_spadina/dark_horse_spadina2.png"
Aroma Espresso Bar - King W,430 King Street West,,King & Spadina,Toronto,Ontario,Canada,,"Gourmet slow-roasted coffee, fresh and healthy food, a pleasant atmosphere and great service. These are the standards that Aroma has been offering its cusomters since 1994. We love Aroma as a workspace because it's open, modern and comfortable. ",Healthy options such as salads and sandwiches,,,,Contemporary decor,,Isreali coffee & espresso,None,,"Street parking on King W for $3.00 per hour or a parking lot on 363 Adelaide St W
for $2.75 / Half Hour",undefined,647.352.5430,,workspace,king_w,"West End, Working Alone, Working in a Group, Coffee/Tea, Salads, Sandwiches",aroma_espresso_bar/aroma_logo.jpg,"aroma_espresso_bar/aroma_espresso_bar1.JPG, aroma_espresso_bar/aroma_espresso_bar2.jpg, aroma_espresso_bar/aroma_espresso_bar3.jpg"
Aroma Espresso Bar - Bay St,1110 Bay St.,,Charles & Bay,Toronto,Ontario,Canada,,"Gourmet slow-roasted coffee, fresh and healthy food, a pleasant atmosphere and great service. These are the standards that Aroma has been offering its cusomters since 1994. We love Aroma as a workspace because it's open, modern and comfortable. ",Healthy options such as salads and sandwiches,,,,Contemporary decor,,Isreali coffee & espresso,None,,Street parking on Bay St for $3.00 per hour,Mo– Fri 7:30am - 10:00pm | Sat - Sun 8:00am - 10:00pm,416.792.7662,,workspace,,"UofT, Working Alone, Working in a Group, Coffee/Tea, Salads, Sandwiches",aroma_espresso_bar/aroma_logo.jpg,"aroma_espresso_bar/aroma_espresso_bar1.JPG, aroma_espresso_bar/aroma_espresso_bar2.jpg, aroma_espresso_bar/aroma_espresso_bar3.jpg"
Aroma Espresso Bar - Eaton Centre,562 Bay St.,,Bay & Dundas,Toronto,Ontario,Canada,,"Gourmet slow-roasted coffee, fresh and healthy food, a pleasant atmosphere and great service. These are the standards that Aroma has been offering its cusomters since 1994. We love Aroma as a workspace because it's open, modern and comfortable. ",Healthy options such as salads and sandwiches,,,,Contemporary decor,,Isreali coffee & espresso,None,,"Street parking on Bay, Dundas or Elm st for $4.00 per hour or various parking lots is the area",Mon - Fri: 7:00am - 9:00pm | Sat - Sun 8:00am - 9:00pm,416.792.7760,,workspace,,"Ryerson, Working Alone, Working in a Group, Coffee/Tea, Salads, Sandwiches",aroma_espresso_bar/aroma_logo.jpg,"aroma_espresso_bar/aroma_espresso_bar1.JPG, aroma_espresso_bar/aroma_espresso_bar2.jpg, aroma_espresso_bar/aroma_espresso_bar3.jpg"
Strada 241,241 Spadina Ave,,Spadina & Dundas,Toronto,Ontario,Canada,,"In Southern Italy, specifically from Naples to Sicily, there is a popular history of “underground home dining” where by the homeowners literally open their doors and offer lunch and dinner to the public right from the street. Yes these bold restaurateurs and home chefs open up their doors and cook family recipes to the locals and tourists alike. Sound appealing? Yes they thought so too, hence the birth of Strada 241.",Authentic southern Italian,,,,"Open concept, Casual, Wooden",,Pizzas and pastas,Any pizza or pasta with a side of caesar salad or market greens for $15. (Valid Sun - Thurs for lunch and dinner). ,$$,Street parking on Spadina,Mon - Wed: 8:30am - 10:00pm. Thurs - Fri: 8:30am - 12:00am. Sat: 11:00am - 12:00am. Sun: 11:00am - 10:00pm,647.351.1200,,resto,,"Out with Family, Italian, Casual, Trendy",strada_241/logo_strada241.png,"strada_241/strada_241_1.png, strada_241/strada_241_2.png"
URSA,924 Queen St West,,Queen & Shaw,Toronto,Ontario,Canada,,"URSA is a wonderful 50 seat restaurant on Queen West with high quality food and service. And it houses one of the top cocktail bars in Toronto. The chef employs a range of traditional and modern techniques to produce beautiful, nutrient rich and well balanced plates. The menu reflects a holistic outlook on life. URSA’s decor is beautiful and modern, yet it feels very cozy. To top it all off, the menu changes almost weekly, so it’s a new experience all year long!",Contemporary Canadian,,,,Cozy Chic,,"Hand prepared, seasonal and foraged ingredients",None,$$$,Street Parking on Queen or Shaw,Mon - Thu: 6:00 pm - 10:00 pm. Fri - Sat: 5:00 pm - 11:00 pm. Sun: 6:00 pm - 10:00 pm,416.536.8963,,resto,queen_w,"Impress a Date, Unique Wine List, Unique Cocktails, Romantic, Modern, Upscale",ursa/ursa_logo.jpeg,"ursa/ursa_1.jpg, ursa/ursa_2.jpg, ursa/ursa_3.png"
Boehmer,93 Ossington Ave.,,Queen & Ossington,Toronto,Ontario,Canada,,"A beautiful and spacious venue with tall white walls, floor to ceiling windows, wood furniture, and crystal fixtures. Enjoy the hand crafted and unique menu by chef Boehmer himself. the restaurant uses seasonal and local ingredients to hand crafted unique menu items by Boehmer himself as well as a burgeoning cocktail list complete with 200-year-old classics. We recommend this restaurant for fancy group outings and romantic dates.",Canadiana,,,,"Trendy, Modern",,Foie Gras and Oysters,None,$$$,Street parking on Ossington or a parking lot just south on Ossington,Tue – Sat: 5:30pm-11:00pm. Sun: 10:30am -3:00pm,416.531.3800,,resto,ossington,"Impress a Date, Dinner Before the Club, Comfort Foods, Oysters, Romantic, Trendy, Reserve a Table",boehmer/boehmer_logo.png,"boehmer/boehmer_1.png, boehmer/boehmer_2.jpeg, boehmer/boehmer_3.png"
Barque Smokehouse,299 Roncesvalles Avenue,,Roncesvalles & Geoffrey St,Toronto,Ontario,Canada,,"Barque Smokehouse presents an original approach to traditional barbeque. Their unique 12 hour cooking process leaves meat juicy tender and coated with a caramel skin. If you’re a carnivore, this should be your next stop.", Refined barbeque,,,," Bright, warm and welcoming",,Brisket/BBQ,None,$$,Street parking on Roncesvalles,Mon - Thurs: 11:30am-2:30pm | 5:00pm-10:00pm. Friday: 11:30am-2:30pm | 5:00pm-11:00pm. Saturday: 10:00am-2:00pm | 5:00pm-11:00pm. Sunday: 10:00am-2:00pm | 5:00pm-9:30pm. ,416.532.7700 ,,resto,,"Out with Family, Out with Friends, Carnivore Menu, Brunch, Casual, Trendy",barque_smokehouse/barque_smokehouse_logo.png,"barque_smokehouse/barque_smokehouse1.jpg, barque_smokehouse/barque_smokehouse_2.jpg, barque_smokehouse/barque_smokehouse_3.jpg"
Woodlot,293 Palmerston Ave,,Palmerston & College,Toronto,Ontario,Canada,,"A warm and charming restaurant. Upon entering this wooden haven, you’ll feel right at home. The restaurant proudly displays their hand-made wood fire oven, which is used when preparing most menu items. Order one of their natural wines, microbrewery beers or seasonal cocktails. Woodlot is honest, simple, handmade.

",Canadian Comfort Foods,,,,Charming,,Wood fire oven. A meat lover menu and a seperate vegetarian menu,None,$$$,Street parking on College St,Tues - Sun: 5:00pm - 11:00pm. Mon: Closed,647.342.6307,,resto,college_st,"Out with Friends, Unwind, Comfort Foods, Vegetarian Menu, Craft Beer, Cozy",woodlot/woodlot_logo.png,"woodlot/woodlot_01.png, woodlot/woodlot_02.jpg, woodlot/woodlot_03.png"
Banu,777 Queen St W,,Queen & Tecumseth,Toronto,Ontario,Canada,,"Banu: Iranian Kabob & Vodka Bar. A restaurant that honors the Persian history very well, Banu is a unique spot on Queen W, adding to the cultural mosaic that is Canada. Serving traditional Iranian food, such as yogurts, kabobs, stews and bread (no rice) and evoking the Iranian culture in their decor and furniture, Banu is a wonderful cultural experience. ","Iranian, Middle Eastern",,,," Cultural, Traditional",,Kabobs,None,$$$,Street parking on Queen,"Sun - Wed, Fri: 12:00pm – 3:00 pm | 5:00 pm – 12:00 am. Thurs: 12:00pm - 3:00pm, 5:00pm - 11:00pm. Sat: 12:00pm – 3:00 pm, 5:00 pm – 12:00 am",416.777.2268,,resto,queen_w,"Out with Family, Be Adventurous, Mediterranean/Mid-Eastern, Unique Cocktails",banu/banu_logo.png,"banu/banu.jpg, banu/banu_2.jpg, banu/banu_3.jpg"
